estadio,ano,mandante,partidas,vitorias_casa,vitorias_fora,empates
Alfredo Jaconi,2004,Juventude,22,10,5,7
Beira Rio,2004,Internacional,23,15,4,4
Mineirão,2004,Atletico-MG,13,5,3,5
Maracanã,2004,Fluminense,16,7,3,6
Pacaembu,2004,Corinthians,20,12,3,5
Brinco de Ouro,2004,Guarani,23,8,5,10
Arena da Baixada,2004,Athletico-PR,22,15,2,5
Barradão,2004,Vitoria,23,12,6,5
Heriberto Hulse,2004,Criciuma,23,11,6,6
Vila Belmiro,2004,Santos,17,12,3,2
Independência,2004,Cruzeiro,2,1,0,1
Independência,2004,Atletico-MG,7,3,2,2
Morumbi,2004,Corinthians,2,0,1,1
Maracanã,2004,Flamengo,6,1,2,3
Mineirão,2004,Cruzeiro,20,10,8,2
Maracanã,2004,Vasco,4,2,1,1
Raulino de Oliveira,2004,Fluminense,7,5,1,1
Mj José Levi Sobrinho,2004,Corinthians,1,0,0,1
Pacaembu,2004,Santos,1,1,0,0
Maracanã,2004,Botafogo-RJ,3,0,0,3
Pacaembu,2004,Palmeiras,2,1,1,0
Wilson de Barros,2004,Santos,1,1,0,0
Morumbi,2004,Palmeiras,1,0,1,0
Pacaembu,2004,Sao Paulo,1,0,0,1
Mário Helênio,2004,Botafogo-RJ,1,0,0,1
Benedito Teixeira,2004,Santos,2,2,0,0
Bento Freitas,2004,Gremio,2,1,1,0
Serra Dourada,2004,Athletico-PR,1,1,0,0
Morumbi,2004,Atletico-MG,1,0,0,1
Prudentão,2004,Santos,1,1,0,0
Ipatingão,2004,Atletico-MG,2,1,0,1
Colosso da Lagoa,2004,Juventude,1,0,1,0
Santa Cruz,2004,Figueirense,1,1,0,0
Colosso da Lagoa,2004,Gremio,2,0,1,1
Teixeirão,2004,Santos,1,1,0,0
Pinheirão,2005,Parana,16,10,3,3
Mineirão,2005,Atletico-MG,20,6,10,4
Bruno J Daniel,2005,Sao Caetano,1,0,0,1
Maracanã,2005,Flamengo,1,0,0,1
Beira Rio,2005,Internacional,21,14,4,3
Pres Vargas*(PF),2005,Fortaleza,2,1,1,0
Maracanã,2005,Fluminense,1,1,0,0
Pacaembu,2005,Corinthians,18,10,2,6
Arena da Baixada,2005,Athletico-PR,19,13,3,3
Mané Garrincha,2005,Brasiliense,3,1,1,1
A Campanella*(PF),2005,Santos,1,1,0,0
Serra Dourada,2005,Goias,21,14,4,3
R de Oliveira*(PF),2005,Vasco,1,0,0,1
Parque Antártica,2005,Palmeiras,18,13,3,2
Moisés Lucarelli,2005,Ponte Preta,21,11,7,3
Morumbi,2005,Sao Paulo,21,10,5,6
Mineirão,2005,Cruzeiro,21,11,6,4
Alfredo Jaconi,2005,Juventude,20,11,4,5
Orlando Scarpelli,2005,Figueirense,21,11,5,5
Luso Brasileiro*(PF),2005,Botafogo-RJ,1,1,0,0
Couto Pereira,2005,Coritiba,21,10,8,3
Mangueirão,2005,Paysandu,19,8,9,2
Vila Belmiro,2005,Santos,17,8,3,6
Raulino de Oliveira,2005,Fluminense,19,9,6,4
Anacleto Campanella,2005,Sao Caetano,20,7,8,5
G Coutinho*(PF),2005,Botafogo-RJ,1,1,0,0
Luso Brasileiro,2005,Flamengo,16,6,4,6
Boca do Jacaré,2005,Brasiliense,17,5,7,5
Presidente Vargas,2005,Fortaleza,1,1,0,0
São Januário,2005,Vasco,20,11,4,5
Raulino de Oliveira,2005,Flamengo,3,2,0,1
Luso Brasileiro,2005,Botafogo-RJ,18,10,4,4
Couto Pereira*(PF),2005,Athletico-PR,2,0,0,2
Wilson de Barros*(PF),2005,Corinthians,2,1,1,0
Castelão,2005,Fortaleza,18,10,4,4
Giulite Coutinho,2005,Flamengo,1,0,1,0
Morumbi,2005,Corinthians,1,1,0,0
Raulino de Oliveira,2005,Botafogo-RJ,1,0,1,0
Willie Davids,2005,Parana,4,0,3,1
Serejão,2005,Brasiliense,1,0,0,1
Pacaembu*(PF),2005,Palmeiras,1,0,0,1
Independência*(PF),2005,Atletico-MG,1,0,1,0
Curuzu*(PF),2005,Paysandu,2,2,0,0
Morumbi,2005,Palmeiras,1,0,0,1
Parque Antártica*(PF),2005,Santos,1,0,1,0
Olímpico Regional,2005,Parana,1,1,0,0
São Januário,2005,Fluminense,1,1,0,0
Pacaembu,2005,Palmeiras,1,1,0,0
Centenário*(PF),2005,Juventude,1,1,0,0
A.Campanella*(PF),2005,Santos,1,0,1,0
Pacaembu*(PF),2005,Santos,1,0,0,1
Alfredo Jaconi,2006,Juventude,19,11,2,6
São Januário,2006,Vasco,17,7,2,8
Morumbi,2006,Sao Paulo,19,14,1,4
Olímpico,2006,Gremio,16,10,3,3
Maracanã,2006,Botafogo-RJ,17,9,5,3
Anacleto Campanella,2006,Sao Caetano,19,6,7,6
Parque Antártica,2006,Palmeiras,17,8,5,4
Arruda,2006,Santa Cruz,19,6,9,4
Kyocera Arena,2006,Athletico-PR,18,9,6,3
Serra Dourada,2006,Goias,19,9,5,5
Pacaembu,2006,Corinthians,13,8,3,2
Maracanã,2006,Fluminense,17,6,5,6
Orlando Scarpelli,2006,Figueirense,19,9,3,7
Beira Rio,2006,Internacional,19,10,3,6
Papa J.Paulo II (*PF),2006,Santos,1,1,0,0
Moisés Lucarelli,2006,Ponte Preta,19,8,8,3
Maracanã,2006,Flamengo,17,9,3,5
Mineirão,2006,Cruzeiro,17,9,1,7
Pinheirão,2006,Parana,11,7,1,3
Castelão,2006,Fortaleza,12,2,7,3
Bruno J.Daniel (*PF),2006,Santos,1,1,0,0
Teixeirão,2006,Corinthians,1,0,1,0
Vila Belmiro,2006,Santos,17,13,2,2
Willie Davids,2006,Parana,1,0,1,0
Morumbi,2006,Corinthians,5,1,3,1
Raulino de Oliveira,2006,Fluminense,2,1,1,0
Raulino de Oliveira,2006,Flamengo,2,1,1,0
Raulino de Oliveira,2006,Botafogo-RJ,2,1,0,1
Morumbi,2006,Palmeiras,1,1,0,0
Presidente Vargas,2006,Fortaleza,7,3,2,2
Centenário (*PF),2006,Gremio,3,3,0,0
Independência,2006,Cruzeiro,1,1,0,0
Durival de Brito,2006,Parana,7,5,1,1
Prudentão,2006,Palmeiras,1,1,0,0
Maracanã,2006,Vasco,2,1,0,1
Independência (*PF),2006,Cruzeiro,1,0,0,1
Durival de Brito (*PF),2006,Athletico-PR,1,0,1,0
Orlando Scarpelli,2007,Figueirense,19,10,4,5
Morumbi,2007,Sao Paulo,19,13,3,3
Maracanã,2007,Fluminense,15,7,2,6
Maracanã,2007,Flamengo,17,11,2,4
Beira Rio,2007,Internacional,19,12,5,2
Durival de Brito,2007,Parana,19,8,7,4
Mineirão,2007,Atletico-MG,19,9,5,5
Morumbi,2007,Corinthians,8,2,2,4
Machadão,2007,America-RN,19,2,14,3
Ilha do Retiro,2007,Sport,19,11,3,5
Alfredo Jaconi,2007,Juventude,19,7,4,8
Kyocera Arena,2007,Athletico-PR,19,11,2,6
Vila Belmiro,2007,Santos,19,11,4,4
Mineirão,2007,Cruzeiro,19,11,6,2
Serra Dourada,2007,Goias,19,9,4,6
Parque Antártica,2007,Palmeiras,18,9,6,3
Maracanã,2007,Botafogo-RJ,12,5,4,3
Olímpico,2007,Gremio,19,12,3,4
Aflitos,2007,Nautico,19,9,6,4
São Januário,2007,Vasco,16,10,4,2
Maracanã,2007,Vasco,3,1,1,1
Olímpico Engenhão,2007,Fluminense,1,0,1,0
Raulino de Oliveira,2007,Fluminense,1,0,0,1
Pacaembu,2007,Corinthians,11,4,4,3
Mané Garrincha,2007,Botafogo-RJ,1,1,0,0
Parque do Sabiá,2007,Flamengo,1,0,1,0
Giulite Coutinho,2007,Botafogo-RJ,1,1,0,0
Engenheiro Araripe,2007,Fluminense,1,1,0,0
Mário Helênio,2007,Flamengo,1,1,0,0
Mané Garrincha,2007,Fluminense,1,0,0,1
Engenheiro Araripe,2007,Botafogo-RJ,1,1,0,0
Morumbi,2007,Palmeiras,1,1,0,0
Engenhão,2007,Botafogo-RJ,4,2,1,1
Aflitos,2008,Nautico,17,8,5,4
Morumbi,2008,Sao Paulo,19,14,1,4
Barradão,2008,Vitoria,19,11,3,5
Couto Pereira,2008,Coritiba,19,10,3,6
Beira Rio,2008,Internacional,19,13,2,4
Engenhão,2008,Botafogo-RJ,18,9,5,4
Ipatingão,2008,Ipatinga,19,9,7,3
Canindé,2008,Portuguesa,17,8,2,7
Mineirão,2008,Atletico-MG,19,9,2,8
Maracanã,2008,Flamengo,19,11,4,4
Mineirão,2008,Cruzeiro,19,15,2,2
Ilha do Retiro,2008,Sport,19,11,2,6
São Januário,2008,Vasco,19,7,8,4
Olímpico,2008,Gremio,19,14,1,4
Kyocera Arena,2008,Athletico-PR,19,10,3,6
Maracanã,2008,Fluminense,19,7,6,6
Serra Dourada,2008,Goias,17,10,3,4
Orlando Scarpelli,2008,Figueirense,19,7,7,5
Palestra Itália,2008,Palmeiras,18,13,3,2
Vila Belmiro,2008,Santos,19,9,4,6
Pacaembu,2008,Portuguesa,1,0,0,1
Arruda,2008,Nautico,2,1,0,1
Antônio Guimarães,2008,Portuguesa,1,0,1,0
Pacaembu,2008,Palmeiras,1,1,0,0
Maracanã,2008,Botafogo-RJ,1,0,1,0
Juscelino Kubitscheck,2008,Goias,1,1,0,0
Bezerrão,2008,Goias,1,0,1,0
Ilha do Retiro,2009,Sport,19,7,9,3
Palestra Itália,2009,Palmeiras,18,11,1,6
Ressacada,2009,Avai,19,10,3,6
Pacaembu,2009,Corinthians,17,10,5,2
Maracanã,2009,Fluminense,19,8,4,7
Arena da Baixada,2009,Athletico-PR,18,8,4,6
Mineirão,2009,Cruzeiro,19,9,7,3
Olímpico,2009,Gremio,19,14,0,5
Bruno José Daniel,2009,Santo Andre,16,8,5,3
Serra Dourada,2009,Goias,19,9,4,6
Couto Pereira,2009,Coritiba,18,10,4,4
Mineirão,2009,Atletico-MG,19,9,5,5
Maracanã,2009,Flamengo,18,11,2,5
Vila Belmiro,2009,Santos,17,7,5,5
Morumbi,2009,Sao Paulo,19,12,1,6
Arena Barueri,2009,Barueri,18,10,2,6
Beira Rio,2009,Internacional,19,12,3,4
Engenhão,2009,Botafogo-RJ,19,8,5,6
Barradão,2009,Vitoria,19,11,3,5
Aflitos,2009,Nautico,18,7,7,4
Engenhão,2009,Flamengo,1,1,0,0
Eduardo José Farah,2009,Corinthians,1,0,1,0
Teixeirão,2009,Santo Andre,1,0,0,1
Estádio do Café,2009,Athletico-PR,1,1,0,0
Anacleto Campanella,2009,Santo Andre,1,0,1,0
Olímpico Regional,2009,Coritiba,1,0,1,0
Luiz Lacerda,2009,Nautico,1,1,0,0
Santa Cruz,2009,Santo Andre,1,0,0,1
Pacaembu,2009,Santos,2,1,0,1
Eduardo José Farah,2009,Palmeiras,1,0,0,1
Brinco de Ouro,2009,Corinthians,1,0,1,0
Prudentão,2009,Barueri,1,0,0,1
Engenhão,2010,Botafogo-RJ,19,8,1,10
Serra Dourada,2010,Atletico-GO,19,7,6,6
Parque Antártica,2010,Palmeiras,2,2,0,0
Maracanã,2010,Flamengo,10,3,1,6
Mineirão,2010,Atletico-MG,4,2,2,0
Beira Rio,2010,Internacional,19,9,3,7
Pacaembu,2010,Corinthians,19,15,2,2
Castelão,2010,Ceara,19,9,1,9
Brinco de Ouro,2010,Guarani,19,7,3,9
Ressacada,2010,Avai,19,9,5,5
Maracanã,2010,Fluminense,9,6,0,3
Prudentão,2010,Gremio Prudente,19,5,9,5
Barradão,2010,Vitoria,19,7,4,8
Vila Belmiro,2010,Santos,16,8,3,5
Morumbi,2010,Sao Paulo,16,8,5,3
Serra Dourada,2010,Goias,19,5,9,5
Olímpico,2010,Gremio,19,11,4,4
São Januário,2010,Vasco,15,9,1,5
Mineirão,2010,Cruzeiro,3,1,0,2
Arena da Baixada,2010,Athletico-PR,19,12,1,6
Arena Barueri,2010,Palmeiras,6,3,1,2
Pacaembu,2010,Palmeiras,10,3,4,3
Arena do Jacaré,2010,Atletico-MG,12,6,5,1
Arena do Jacaré,2010,Cruzeiro,10,7,0,3
Ipatingão,2010,Atletico-MG,3,1,2,0
Ipatingão,2010,Cruzeiro,1,0,1,0
