estadio,partidas,vitorias_casa,vitorias_fora,empates,data_primeira_partida,data_ultima_partida,times_casa,latitude,longitude
Estádio Brinco de Ouro,4,4,0,0,05/12/2019,16/10/2024,"{'Palmeiras': 3, 'Sao Paulo': 1}",-22.9095729,-47.0433697
Nabizão,95,44,20,31,12/08/2020,08/12/2024,{'Bragantino': 95},-22.9653902,-46.5368855
Estádio da Serrinha,38,12,13,13,19/08/2020,13/11/2022,{'Goias': 38},-22.722203,-43.5602427
Estádio Antônio Accioly,44,15,10,19,28/11/2020,09/11/2022,{'Atletico-GO': 44},-16.6695309,-49.2841376
Ligga Arena,38,17,9,12,15/04/2023,05/12/2024,{'Athletico-PR': 38},-25.4483457,-49.2768771
Estádio Beira-Rio,35,19,7,9,23/04/2023,04/12/2024,{'Internacional': 35},-21.2855213,-42.552353
Estádio Hailé Pinheiro - Serrinha,19,5,7,7,23/04/2023,06/12/2023,{'Goias': 19},-16.7112422,-49.2611903
Estádio São Januário,31,15,10,6,01/05/2023,04/12/2024,"{'Vasco': 30, 'Botafogo-RJ': 1}",-22.8908007,-43.2282681
Arena MRV,25,14,5,6,27/08/2023,08/12/2024,{'Atletico-MG': 25},-19.9300116,-44.0138813
Arena BRB Mané Garrincha,7,2,2,3,01/11/2023,29/09/2024,"{'Flamengo': 2, 'Juventude': 2, 'Vasco': 1, 'Botafogo-RJ': 1, 'Sao Paulo': 1}",-15.7837498,-47.8990287
MorumBIS,17,10,4,3,13/04/2024,04/12/2024,{'Sao Paulo': 17},-23.6001016,-46.7201264
Arena Fonte Nova,19,11,5,3,16/04/2024,08/12/2024,{'Bahia': 19},-12.9787926,-38.5035601
Estádio Antônio Accioly - Atlético Goianiense,18,5,8,5,21/04/2024,04/12/2024,{'Atletico-GO': 18},Unk,Unk
Estádio Francisco Stédile | Centenário,4,2,1,1,30/06/2024,21/07/2024,{'Gremio': 4},-29.1650091,-51.1966128
Estádio Independência,4,1,2,1,13/07/2024,26/11/2024,"{'Cruzeiro': 2, 'Atletico-MG': 2}",13.0978519,-86.3528973
